ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Armistice Day,Armistice Day_lower,Armistice Day_upper,Ascension Day,Ascension Day_lower,Ascension Day_upper,Assumption Day,Assumption Day_lower,Assumption Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Easter Monday,Easter Monday_lower,Easter Monday_upper,Labor Day,Labor Day_lower,Labor Day_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Victory Day,Victory Day_lower,Victory Day_upper,Weekly-Increase Fourier Order,Weekly-Increase Fourier Order_lower,Weekly-Increase Fourier Order_upper,Whit Monday,Whit Monday_lower,Whit Monday_upper,Yearly Seasonality increase fourier_order,Yearly Seasonality increase fourier_order_lower,Yearly Seasonality increase fourier_order_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-25,909.1439703382108,237.5122970717254,707.9152124729507,909.1439703382108,909.1439703382108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.45487011133079,-100.45487011133079,-100.45487011133079,0.0,0.0,0.0,-347.97020676279004,-347.97020676279004,-347.97020676279004,-448.4250768741209,-448.4250768741209,-448.4250768741209,0.0,0.0,0.0,0.0,0.0,0.0,460.7188934640899
2021-01-26,908.8539782850868,162.79158917338475,660.4854021546967,908.8539782850868,908.8539782850868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.2813613685624,-140.2813613685624,-140.2813613685624,0.0,0.0,0.0,-347.1594282876273,-347.1594282876273,-347.1594282876273,-487.4407896561896,-487.4407896561896,-487.4407896561896,0.0,0.0,0.0,0.0,0.0,0.0,421.41318862889716
2021-01-27,908.5639862319628,194.5041051163712,675.5534919310949,908.5639862319628,908.5639862319628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.75817305420262,-142.75817305420262,-142.75817305420262,0.0,0.0,0.0,-345.9454665395678,-345.9454665395678,-345.9454665395678,-488.7036395937705,-488.7036395937705,-488.7036395937705,0.0,0.0,0.0,0.0,0.0,0.0,419.86034663819225
2021-01-28,908.273994178839,189.83025789146257,668.6481956253492,908.273994178839,908.273994178839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.76371482005703,-138.76371482005703,-138.76371482005703,0.0,0.0,0.0,-344.36656697061073,-344.36656697061073,-344.36656697061073,-483.1302817906677,-483.1302817906677,-483.1302817906677,0.0,0.0,0.0,0.0,0.0,0.0,425.14371238817125
2021-01-29,907.9840021257149,245.78630430374835,720.5020909782435,907.9840021257149,907.9840021257149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.41011264811726,-69.41011264811726,-69.41011264811726,0.0,0.0,0.0,-342.43649978116383,-342.43649978116383,-342.43649978116383,-411.8466124292812,-411.8466124292812,-411.8466124292812,0.0,0.0,0.0,0.0,0.0,0.0,496.13738969643373
2021-01-30,907.6940100725909,485.38045162449026,920.3511513471874,907.6940100725909,907.6940100725909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0957975900443,139.0957975900443,139.0957975900443,0.0,0.0,0.0,-340.1431149826757,-340.1431149826757,-340.1431149826757,-201.04731739263138,-201.04731739263138,-201.04731739263138,0.0,0.0,0.0,0.0,0.0,0.0,706.6466926799595
2021-01-31,907.4040180194671,779.8373012851143,1249.937930380096,907.4040180194671,907.4040180194671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.57243441231043,452.57243441231043,452.57243441231043,0.0,0.0,0.0,-337.4482233319896,-337.4482233319896,-337.4482233319896,115.12421108032086,115.12421108032086,115.12421108032086,0.0,0.0,0.0,0.0,0.0,0.0,1022.528229099788
2021-02-01,907.1140259663431,235.8817589673951,703.8757643213593,907.1140259663431,907.1140259663431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.45487011203257,-100.45487011203257,-100.45487011203257,0.0,0.0,0.0,-334.2888359185215,-334.2888359185215,-334.2888359185215,-434.74370603055416,-434.74370603055416,-434.74370603055416,0.0,0.0,0.0,0.0,0.0,0.0,472.3703199357889
2021-02-02,906.8240339132193,203.43309102100042,661.5937445341814,906.8240339132193,906.8240339132193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.28136136909782,-140.28136136909782,-140.28136136909782,0.0,0.0,0.0,-330.5797407640348,-330.5797407640348,-330.5797407640348,-470.8611021331326,-470.8611021331326,-470.8611021331326,0.0,0.0,0.0,0.0,0.0,0.0,435.9629317800867
2021-02-03,906.5340418600953,206.6499817217111,658.423054593885,906.5340418600953,906.5340418600953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.7581730542073,-142.7581730542073,-142.7581730542073,0.0,0.0,0.0,-326.21734036802695,-326.21734036802695,-326.21734036802695,-468.97551342223414,-468.97551342223414,-468.97551342223414,0.0,0.0,0.0,0.0,0.0,0.0,437.5585284378611
